"Type","Buy","Cur.","Sell","Cur.","Exchange","Comment","Date"
"Trade","0.00317400","BTC","99.98100000","EURO","Binance","","2021-02-04"
"Airdrop","1.00000000","GPH","","","Coinbase","","2021-02-04"
"Deposit","2400.00000000","REEF","","","","","2021-02-04"
"Withdrawal","","","0.20095190","BTC","Trezor","Moving some over to sell","2021-02-03"
"Trade","0.00233595","BTC","1305.00000000","LOOM","Binance","Sold LOOM for BTC / CAD$109.90. price in btc for 1 LOOM = 0.00000179 Price BNB 65.7234 = -.08 cents","2021-02-03"
"Trade","0.00483021","BTC","20.00000000","ATOM","Crypto.com","ATOM -> BTC price in btc for 1 LOOM = 0.00024151","2021-02-03"
"Deposit","200.00000000","ADA","","","","","2021-02-03"
"Deposit","194.70000000","USDC","","","Ledger Live","Ethereum 1","2021-02-01"
"Deposit","105.16185500","USDC","","","Ledger Live","Ethereum 1","2021-02-01"
"Trade","29.85214000","XLM","0.00000000","0","","","2021-02-01"
"Gift/Tip","6.93406307","ETH","","","Binance","Manual - Recovery from transfer error to Bunny Contract wallet","2021-02-01"
"Withdrawal","","","4.00000146","LTC","Ledger Live","Litecoin 1 (native segwit)","2021-02-01"
"Withdrawal","","","6.25893137","DASH","Ledger Live","Dash 1","2021-02-01"
"Deposit","210584.19000000","SRK","","","","","2021-02-01"
"Deposit","377.67000000","GRT","","","Ledger Live","Ethereum 1","2021-02-01"
"Trade","1.87000000","DOT2","30.00000000","USDT","BNB","","2021-02-01"
"Trade","24.61000000","IOTA","10.43464000","USDT","BINACE Exchange","","2021-02-01"
"Trade","0.00019940","BTC","90.17000000","PLN","","Kupno 002","2021-02-01"
"Trade","48.01000000","AAVE","48.01000000","USD","","","2021-02-01"
"Lost","","","6.93413107","ETH","Binance","Manual - Transfer error to Bunny Contract wallet","2021-02-01"
"Trade","15.00000000","GRT","29.00000000","USD","Binance","","2021-02-01"
"Trade","0.00024266","BTC","30.00000000","PLN","","","2021-01-31"
"Trade","0.00405995","ETH","20.00000000","PLN","","","2021-01-31"
"Trade","0.07494750","BTC","2465.75000000","USD","","","2021-01-31"
"Withdrawal","","","136.33599150","EGLD","Metamask","","2021-01-31"
"Income","157.21590000","GRT","","","Coinbase","Investition Januar","2021-01-31"
"Trade","3.85000000","BTC","1.00000000","EUR","","","2021-01-30"
"Trade","4.00000000","AAVE","100000.00000000","TNB","","","2021-01-30"
"Trade","1.00000000","UNI","302.00000000","NEBL","","","2021-01-30"
"Trade","1.00000000","UNI","100.32000000","EOS","","","2021-01-30"
"Trade","1.00000000","UNI","47.00000000","GAS","","","2021-01-30"
"Trade","1.00000000","UNI","902.00000000","WABI","","","2021-01-30"
"Trade","50.00000000","UNI","1290.00000000","XLM","","","2021-01-30"
"Trade","125.00000000","DOT","5000.00000000","XRP","","","2021-01-30"
"Trade","0.36116399","ETH","400.00000000","EUR","","","2021-01-30"
"Trade","1.74000000","DOT2","30.00000000","USDT","BNB","","2021-01-29"
"Trade","35.00000000","XLM","11.00000000","AED","","","2021-01-29"
"Deposit","111.00000000","XRP","","","","","2021-01-29"
"Withdrawal","","","1076.01000000","USD","Coinbase Pro","Cash from Sales into Schwab Checking","2021-01-29"
"Lost","","","54.00000000","BTC","","","2021-01-29"
"Trade","200.00000000","DOGE","52765.00000000","CAD","","","2021-01-29"
"Trade","0.00816853","BTC","250.00000000","USDT","MindCapital Exchange","Compra de BTC","2021-01-27"
"Deposit","0.06229000","ETH","","","Binance","","2021-01-27"
"Deposit","0.02858000","BTC","","","","","2021-01-27"
